auditor,auditReportPageRange,link,page_text
,44 - 46,https://www1.hkexnews.hk/listedco/listconews/gem/202 0/0702/2020070200074.pdf,"TOP STANDARD CORPORATIONINDEPENDENTAUDITOR™S REPORT46AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTSD & PARTNERS CPA LIMITEDCertified Public AccountantsYeung Chun Yue, David"
,70 - 81,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063002676.pdf,"81We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Ernst & Young Hua Ming LLP (special general partnership)China BeijingChinese Certified Public Accountant: DONG YanliangThe engagement partnerChinese Certified Public Accountant: LIU Wei29 June 2020"
,155 - 306,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063000025.pdf,"305Bank of Jinzhou Co., Ltd.      2019 Annual Report57. Non-adjusting events after the reporting period (continued)(b) Since the outbreak of novel coronavirus pneumonia in January 2020, the Bank has earnestly studied the spirit conveyed in various national documents and thoroughly implemented the work arrangements of government departments at all levels to satisfy additional capital needs for epidemic prevention and control and resumption of work and production for enterprises. The Bank specially formulated the ﬁChunjin Planﬂ (), comprehensively practiced the policy guidelines of ﬁfive Specificsﬂ(), namely specific time, specific mechanism, specific policies, specific products and specific scale, and provided increased credit support for areas relating to epidemic prevention and control to properly mitigate difficulties facing enterprises affected by the epidemic. With rational support measures, the Bank provided increased credit support to the real economy, improved the efficiency of examination and approval, optimized the credit facilities program for epidemic prevention, reduced and exempted the cost from the use of funds for epidemic prevention by enterprises, and spared no effort to support the resumption of work and production for enterprises. At the same time, the inclusive financial and credit service policy specific for epidemic prevention was launched to support the production and operation of enterprises fighting against the epidemic, care for small and micro enterprises and individuals affected by the epidemic, and implemented ﬁthree major policiesﬂ regarding offering support for the fight against the epidemic, namely ﬁAntiepidemic green channel, support for enterprises falling into difficulties, care for individuals affected by the epidemicﬂ.The epidemic is expected to have certain impact on the overall macro economy and the production and operations of some enterprises, which will, to a certain extent, affect the income level and assets quality of the Bank™s credit assets and investment assets. The extent of such impact will be dependent upon the duration, prevention and control of the epidemic, the extent by which customers in different regions and industries are affected, and the implementation and effectiveness of various regulatory policies. The Bank will continue to pay attention to the development of the epidemic, and continuously evaluate and actively respond to its impact on the Bank™s financial position and operating results.(c) The Bank received the approval from the CBIRC Liaoning Regulatory Bureau for the qualification of Mr. Xiao Geng serving as the director of the Bank on 21 January 2020. His terms of service commenced from 21 January 2020 until expiration of the term of the sixth session of the Board.58. COMPARATIVE FIGURESThe Group has initially applied IFRS 16 at 1 January 2019. Under the transition methods chosen, comparative information is not restated. Further details of the changes in accounting policies are disclosure in note 2(b)."
,63 - 71,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0626/2020062600574.pdf,"71Independent Auditors™ ReportAUDITORS™ RESPONSIBILITY FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS Œ continuedHLB Hodgson Impey Cheng LimitedTien Sun Kit, Jack "
,45 - 56,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0624/2020062401494.pdf,562812P06919
,82 - 88,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0621/2020062100109.pdf,"87AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)Ł Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Chan Wai Nam William with practising certificate number: P05957.Elite Partners CPA LimitedHong Kong, 19 June 202010th Floor,8 Observatory Road,Tsim Sha Tsui,Kowloon, Hong KongŁ Ł  P05957810"
The total fee paid/payable in respect of the statutory audit and non-audit services provided by external auditors during the year ended 31 December 2019 are set out below:20192018RMB™000RMB™000Services renderedAudit services Œ BDO China Shu Lun Pan,41 - 41,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0608/2020060800506.pdf,"41AUDITOR™S REMUNERATIONThe audit works of the Group for the year ended 31 December 2019 were performed by Da Hua Certified Public Accountants (Special General Partnership). The total fee paid/payable in respect of the statutory audit and non-audit services provided by external auditors during the year ended 31 December 2019 are set out below:20192018RMB™000RMB™000Services renderedAudit services Œ BDO China Shu Lun Pan Certified Public Accountants LLPŒ1,000 Œ Da Hua Certified Public Accountants LLP1,000Non-audit servicesŒŒ  1,0001,000  CORPORATE GOVERNANCE FUNCTIONSThe Board as a whole is responsible for performing the corporate governance duties including:(a) to develop and review the Company™s policies and practices on corporate governance;(b) to review and monitor the training and continuous professional development of Directors and senior management;(c) to review and monitor the Company™s policies and practices on compliance with legal and regulatory requirements; and(d) to review the Company™s compliance with the code and disclosure in the Corporate Governance Report.FINANCIAL REPORTINGThe Directors acknowledged their responsibility for the preparation of financial statements which give a true and fair view. In preparing financial statements, which give a true and fair view, it is fundamental that appropriate accounting policies are selected and applied consistently. It is independent auditor™s responsibility to form an independent opinion, based on their audit, on those financial statements and to report their opinion to the Company™s shareholders. The responsibility of the independent auditors are set out in the independent auditor™s report on pages 46 to 51 of this annual report.COMPANY SECRETARYThe Company Secretary of the Company is Ms. Wong Lai Yuk, a member of The Hong Kong Institute of Chartered Secretaries. Ms. Wong has complied with Rule 3.29 of the Listing Rules of taking no less than 15 hours of relevant professional training.",False
,83 - 90,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0603/2020060301119.pdf,˜˚˚˛˝˙ˆ•˘ˆŽ⁄‹˘ˆ˝ˆ„˘ˆ—˝Ž˘ˆˆ˝˚‹ˆ˝˙˙ˆ˝˚‹ˆ–ˆ−˝‚ˆ”˘ˆˆ˝˚‹ˆˆ†–ˆˆ„˘ˆ−⁄˚˘ˆ–ˆ„–⁄›˚⁄ﬁ⁄ƒ˝˚ƒ˘ˆ⁄˚ˆﬁ⁄˚˝˚ƒ⁄˝˙ˆ˝˚‹ˆ¦˘‚ˆ–łˆ•˘ˆ–ˆ⁄˚ˆ–ˆ˛˚˙˘––ˆ˙˝„ˆ„—˘˚Œˆ⁄˚ˆˆ„˘ˆ−⁄˚˘ˆ˝ˆ”˘ˆ⁄˚ˆ”˘ƒ˝˛–˘ˆ–˘ˆ”˘ˆ˘⁄›—ˆ–˛ƒ—ˆ⁄˚ˆ–ˆ⁄–ˆ…łˆˇ‚˝˚łˆœŒˆ‚ˆ
,42 - 45,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0517/2020051700127.pdf,"45F. F. INDEPENDENT AUDITORS™ REMUNERATIONThe remuneration paid/payable to the auditors of the Group for the year ended 31 December 2019 is set out as follows:Paid/payableServices renderedRMB™000   Statutory audit services1,265 Total1,265 G. COMPANY SECRETARYMr. Chow Chi Wing (ﬁMr. Chowﬂ) was appointed as the Company Secretary on 16 July 2015. The biographical details of Mr. Chow are set out in the section headed ﬁBiographical Details of Directors and Senior Managementﬂ of this annual report. According to the requirements of Rule 5.15 of the GEM Listing Rules, Mr. Chow has taken no less than 15 hours of relevant professional training during the year ended 31 December 2019.G. GEM5.1515"
"In our opinion, the consolidated ˜nancial statements give a true and fair view of the consolidated ˜nancial position of the Group as at 31 December 2019, and of its consolidated ˜nancial performance and its consolidated cash ˚ows for the year then ended in accordance with Hong Kong Financial Reporting Standards (ﬁHKFRSsﬂ) issued by the Hong Kong Institute of",16 - 34,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0517/2020051700025.pdf,"34ORIENT SECURITIES INTERNATIONAL HOLDINGS LIMITED˛˙˘˙˛˙˛˝˝˚ˇˆˇ˙˘˚ˇ˝INDEPENDENT AUDITOR™S REPORTTO THE SHAREHOLDERS OF ORIENT SECURITIES INTERNATIONAL HOLDINGS LIMITED(incorporated in the Cayman Islands with limited liability)OPINIONWe have audited the consolidated financial statements of Orient Securities International Holdings Limited (the ﬁCompanyﬂ) and its subsidiaries (together the ﬁGroupﬂ) set out on pages 39 to 97, which comprise the consolidated statement of ˜nancial position as at 31 December 2019, and the consolidated statement of pro˜t or loss and other comprehensive income, the consolidated statement of changes in equity and the consolidated statement of cash ˚ows for the year then ended, and notes to the consolidated ˜nancial statements including a summary of signi˜cant accounting policies.In our opinion, the consolidated ˜nancial statements give a true and fair view of the consolidated ˜nancial position of the Group as at 31 December 2019, and of its consolidated ˜nancial performance and its consolidated cash ˚ows for the year then ended in accordance with Hong Kong Financial Reporting Standards (ﬁHKFRSsﬂ) issued by the Hong Kong Institute of Certi˜ed Public Accountants (ﬁHKICPAﬂ) and have been properly prepared in compliance with the disclosure requirements of the Hong Kong Companies Ordinance.BASIS FOR OPINIONWe conducted our audit in accordance with Hong Kong Standards on Auditing (ﬁHKSAsﬂ) issued by the HKICPA. Our responsibilities under those standards are further described in the ﬁAuditor™s Responsibilities for the Audit of the Consolidated Financial Statementsﬂ section of our report. We are independent of the Group in accordance with the HKICPA™s ﬁCode of Ethics for Professional Accountantsﬂ (the ﬁCodeﬂ), and we have ful˜lled our other ethical responsibilities in accordance with the Code. We believe that the audit evidence we have obtained is suf˜cient and appropriate to provide a basis for our opinion.KEY AUDIT MATTERSKey audit matters are those matters that, in our professional judgement, were of most signi˜cance in our audit of the consolidated ˜nancial statements of the current period. These matters were addressed in the context of our audit of the consolidated ˜nancial statements as a whole, and in forming our opinion thereon, and we do not provide a separate opinion on these matters.852 2218 8288852 2815 2239852 2218 8288852 2815 2239",False
,72 - 79,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051502361.pdf,78Honworld Group Limited  Annual Report 2019INDEPENDENT AUDITOR’S REPORT (CONTINUED)122AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)Ernst & YoungCertified Public Accountants
,61 - 67,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051500792.pdf,"INDEPENDENTCHINA FORDOO HOLDINGS LIMITEDANNUAL REPORT 201966We also provide the audit committee with a statement that we have complied with relevant ethical requirements regarding From the matters communicated with the audit committee, we determine those matters that were of most significance in the audit Elite Partners CPA LimitedCertified Public AccountantsTsim Sha Tsui, Kowloon,Hong Kong"
,33 - 33,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051402189.pdf,"33DIRECTOR™S RESPONSIBILITY IN RESPECT OF FINANCIAL STATEMENTSThe Directors acknowledged their responsibilities for preparing the accounts of the Group. In preparing the accounts for the financial year under review, the Directors have:Ł based on a going concern basis;Ł selected suitable accounting policies and applied them consistently; andŁ made judgments and estimates that were prudent, fair and reasonable.The statement of the auditors of the Company about their reporting responsibilities on the financial statements is set out in the Independent Auditor™s Report on pages 54 to 60.RELATIONS WITH SHAREHOLDERSThe Group is committed to maintaining the highest level of transparency, employs a policy of open and timely disclosure of quarterly information to its shareholders. This commitment to fair disclosure and comprehensive and transparent reporting of the Group™s activities can be reflected in many aspects.The Board strives to encourage and maintain constant dialogue with its shareholders through various means. The AGM of the Company provides an excellent opportunity for the Board to meet and communicate with the shareholders. All Directors make an effort to attend the AGM so that they may answer any questions from the shareholders of the Company.The Chairman is actively involved in organising the AGM and personally chairs it, so as to ensure that shareholders™ views are delivered to the Board. External auditors as well as members of the Remuneration Committee, the Nomination Committee, the Audit Committee and the Compliance Committee, also attend the AGM to answer questions that shareholders may raise. A separate resolution is proposed by the Chairman in respect of each separate issue at the AGM.The proceedings of the AGM are reviewed from time to time to ensure the Company conforms to the best practices regarding corporate governance. A circular in respect of the AGM, which is circulated to all shareholders at least 45 days prior to the AGM, sets out details in relation to each resolution proposed, and other relevant information.The Company also communicates with its shareholders through its annual reports, quarterly results announcement and interim reports. All such reports and announcements can also be accessed via the Company™s website. The Directors, Company Secretary or other appropriate members of senior management also respond to inquiries from shareholders and investors promptly."
,69 - 76,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051401617.pdf,"76P06413 AUDITORS™ RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditors™ report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement director on the audit resulting in this independent auditors™ report is Lo Kin Kei.HLB Hodgson Impey Cheng LimitedLo Kin KeiPractising Certificate Number: P06413Hong Kong, 29 April 2020"
We are independent of the Group in accordance with the HKICPA™s Code of Ethics for Professional Accountants (the CCTH CPA Limited,63 - 64,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051401367.pdf,"China Bozza Development Holdings Limited64Independent Auditor™s Report (continued)RESPONSIBILITIES OF DIRECTORS AND THOSE CHARGED WITH GOVERNANCE FOR THE CONSOLIDATED FINANCIAL STATEMENTSpreparation of consolidated financial statements that are free from material misstatement, whether due to fraud or error.AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTSreport.We are independent of the Group in accordance with the HKICPA™s Code of Ethics for Professional Accountants (the CCTH CPA LimitedCertified Public AccountantsNg Kam FaiKowloon, Hong Kong",False
,55 - 55,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0514/2020051400814.pdf,"55HEBEI YICHEN INDUSTRIAL GROUP CORPORATION LIMITEDANNUAL REPORT 2019Corporate Governance Reportsenior management, the Legal Affairs Department and other relevant individuals and assist them to evaluate the potential sanction risks in our daily operations. The ITAC will convene at least two meetings every year to monitor our exposure to sanction law risks and submit report to the ITAC as soon as possible after such meetings.DIRECTORS’ RESPONSIBILITY IN RESPECT OF THE FINANCIAL STATEMENTSThe Directors acknowledge their responsibility for preparing the financial statements of the Company for the year ended 31 December 2019.The Directors are not aware of any material uncertainties relating to events or conditions that may cast significant doubt upon the Company’s ability to continue as a going concern.The statement of the independent auditors of the Company about their reporting responsibilities on the financial statements is set out in the Independent Auditors’ Report on pages 78 to 87.AUDITORS’ REMUNERATIONThe Company has appointed Pan-China Certified Public Accountant LLP as the auditor of the Company’s 2019 consolidated financial statements prepared under PRC Accounting Standards.The remuneration for the year ended 31 December 2019 paid or payable to the Company’s auditors, Pan-China Certified Public Accountant LLP for audit services amounted to RMB2.3 million (including value added tax).JOINT COMPANY SECRETARIESMr. Zhang Chao and Ms. Ng Wai Kam, a manager of Tricor Services Limited (“Tricor”)(an external service provider), have been appointed as the Company’s joint company secretaries.Ms. Lo Yee Har Susan of Tricor retired and ceased to be the joint company secretary of the Company with effect from 21 December 2019. Ms. Ng Wai Kam was appointed to fill the casual vacancy with effect from 21 December 2019. Ms. Ng’s primary contact person at the Company is Mr. Zhang Chao.All Directors have access to the advice and services of the joint company secretary on corporate governance and board practices and matters.Each of Ms. Lo, Ms. Ng and Mr. Zhang has complied with Rule 3.29 of the Listing Rules by taking no less than 15 hours of the relevant professional training during the year.SHAREHOLDERS’ RIGHTSThe Company engages with Shareholders through various communication channels and a Shareholders’ communication policy is in place to ensure that Shareholders’ views and concerns are appropriately addressed. The policy is regularly reviewed to ensure its effectiveness. Depending on the financial conditions of the Company and the Group and the conditions and factors as set out in the dividend policy, dividends may be proposed and/or declared by the Board during a financial year and any final dividend for a financial year will be subject to the Shareholders’ approval."
