auditor,auditReportPageRange,link,page_text,normal
Mazars CPA Limited,66 - 74,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100379.pdf,"   73P05163AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONT’D)We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law and regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Mazars CPA LimitedCertified Public AccountantsHong Kong, 24 July 2020The engagement director on the audit resulting in this independent auditor’s report is:Yip Ngai ShingPractising Certificate number: P05163",True
Crowe (HK) CPA Limited,49 - 57,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100319.pdf,"57Grandshores Technology Group Limited  Annual Report 2020INDEPENDENT AUDITOR™S REPORTAUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Crowe (HK) CPA LimitedCertified Public AccountantsHong Kong, 27 July 2020Fong Yat Sing, CyrusPractising Certificate Number P07150",True
Deloitte Touche Tohmatsu,86 - 91,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100291.pdf,"90Chinese People Holdings Company Limited2019 - 2020 Annual ReportIndependent Auditor’s Report2020629AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor’s report is Yu Kin Man.Deloitte Touche TohmatsuCertified Public AccountantsHong Kong29 June 2020",True
PricewaterhouseCoopers,6 - 6,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100263.pdf," - 5 - INDEPENDENT AUDITOR™S REPORT TO THE UNITHOLDERS OF LIPPO SELECT HK & MAINLAND PROPERTY ETF  A SUB-FUND OF LIPPO FUND SERIES (THE ﬁTRUSTﬂ) (CONTINUED)  Auditor™s Responsibilities for the Audit of the Financial Statements (Continued)   Conclude on the appropriateness of the Management™s use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Sub-Fund™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Sub-Fund to cease to continue as a going concern.    Evaluate the overall presentation, structure and content of the financial statements, including the disclosures, and whether the financial statements represent the underlying transactions and events in a manner that achieves fair presentation.   We communicate with the Management regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.   We also provide the Management with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.   From the matters communicated with the Management, we determine those matters that were of most significance in the audit of the financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.  Report on Matters under the Relevant Disclosure Provisions of the Trust Deed and Appendix E of the SFC Code  In our opinion, the financial statements have been properly prepared, in all material respects, in accordance with the relevant disclosure provisions of the Trust Deed and Appendix E of the SFC Code.  The engagement partner on the audit resulting in this independent auditor™s report is Chau Chi Kit.       PricewaterhouseCoopers Certified Public Accountants  Hong Kong, 28 July 2020 ",True
PricewaterhouseCoopers,42 - 54,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100241.pdf,"MEI AH ENTERTAINMENT GROUP LIMITED 54INDEPENDENT AUDITOR™S REPORTAuditor™s Responsibilities for the Audit of the Consolidated Financial Statements (Continued)We communicate with the audit committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the audit committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the audit committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Cheng Lap Yam.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 30th June 2020",True
Deloitte Touche Tohmatsu,8 - 12,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100227.pdf,"   - 10 - TO THE UNITHOLDERS OF SAMSUNG HSI DAILY (2X) LEVERAGED PRODUCT, SAMSUNG HSI DAILY (-1X) INVERSE PRODUCT, SAMSUNG HSCEI DAILY (2X) LEVERAGED PRODUCT, SAMSUNG HSCEI DAILY (-1X) INVERSE PRODUCT (SUB-FUNDS OF SAMSUNG LEVERAGED AND INVERSE INVESTMENT PRODUCT SERIES)  - continued  Report on the Audit of the Financial Statements - continued  Auditor's Responsibilities for the Audit of the Financial Statements - continued  We communicate with those charged with governance, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.  We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.  From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the financial statements of the current period and are therefore the key audit matters.  We describe these matters in our auditor's report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.  Report on Matters under the Relevant Disclosure Provisions of the Trust Deed and the Relevant Disclosure Provisions of Appendix E of the SFC Code  In our opinion, the financial statements of each of the Sub-Funds of the Trust have been properly prepared, in all material respects, in accordance with the relevant disclosure provisions of the Trust Deed and the Appendix E of the SFC Code.  The engagement partner on the audit resulting in this independent auditor's report is Tong, Mei Yin.      Deloitte Touche Tohmatsu Certified Public Accountants Hong Kong 31 July 2020  ",True
Deloitte Touche Tohmatsu,7 - 11,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100211.pdf,"   - 9 - INDEPENDENT AUDITOR'S REPORT  TO THE UNITHOLDERS OF SAMSUNG S&P GSCI CRUDE OIL ER FUTURES ETF (SUB-FUND OF SAMSUNG ETFS TRUST) - continued  Report on the Audit of the Financial Statements - continued  Auditor's Responsibilities for the Audit of the Financial Statements - continued  We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.  From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the financial statements of the current period and are therefore the key audit matters.  We describe these matters in our auditor's report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.  Report on Matters under the Relevant Disclosure Provisions of the Trust Deed and the Relevant Disclosure Provisions of Appendix E of the SFC Code  In our opinion, the financial statements of the Sub-Fund of the Trust have been properly prepared, in all material respects, in accordance with the relevant disclosure provisions of the Trust Deed and the Appendix E of the SFC Code.  The engagement partner on the audit resulting in this independent auditor's report is Tong, Mei Yin.      Deloitte Touche Tohmatsu Certified Public Accountants Hong Kong 31 July 2020  ",True
Deloitte Touche Tohmatsu,7 - 11,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100201.pdf,"   - 9 - INDEPENDENT AUDITOR'S REPORT  TO THE UNITHOLDERS OF SAMSUNG CSI CHINA DRAGON INTERNET ETF (SUB-FUND OF SAMSUNG ETFS TRUST II)  - continued  Report on the Audit of the Financial Statements - continued  Auditor's Responsibilities for the Audit of the Financial Statements - continued  From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the financial statements of the current year and are therefore the key audit matters.  We describe these matters in our auditor's report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.  Report on Matters under the Relevant Disclosure Provisions of the Trust Deed and the Relevant Disclosure Provisions of Appendix E of the SFC Code  In our opinion, the financial statements of the Sub-Fund of the Trust have been properly prepared, in all material respects, in accordance with the relevant disclosure provisions of the Trust Deed and the Appendix E of the SFC Code.  The engagement partner on the audit resulting in this independent auditor's report is Tong, Mei Yin.      Deloitte Touche Tohmatsu Certified Public Accountants Hong Kong 31 July 2020  ",True
BDO Limited,35 - 40,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100017.pdf,"39INDEPENDENT AUDITOR™S REPORT AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS ˜ CONTINUEDevaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the directors, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.BDO LimitedCertified Public AccountantsChoi Man OnPractising Certificate Number P02410Hong Kong, 23 June 2020",True
Prism CPA Limited,67 - 70,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001783.pdf,"70AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTSOur responsibilities is to conduct an audit of the Group™s consolidated financial statements in accordance with Hong Kong Standards on Auditing (ﬁHKSAsﬂ) issued by the Hong Kong Institute of Certified Public Accountants (the ﬁHKICPAﬂ) and to issue an auditor™s report that includes our opinion, solely to you, as a body, in accordance with our agreed terms of engagement, and for no other purpose. We do not assume responsibility towards or accept liability to any other person for the contents of this report. However, because of the matter described in the Basis for Disclaimer of Opinion section of our report, we were not able to obtain sufficient appropriate audit evidence to provide a basis for an audit opinion on these consolidated financial statements.We are independent of the Group in accordance with the HKICPA™s Code of Ethics for Professional Accountants (the ﬁCodeﬂ) and we have fulfilled our other ethical responsibilities in accordance with the Code.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Lee Kwok Lun.Prism CPA LimitedCertified Public AccountantsLee Kwok LunPractising Certificate Number: P06294Hong Kong30 July 2020",True
Ernst & Young,51 - 56,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001739.pdf,"55Computime Group Limited — Annual Report 2019/2020Independent Auditor’s Report (continued)Auditor’s Responsibilities for the Audit of the Consolidated Financial Statements (continued)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Wong Ka Wing.Ernst & YoungCertified Public Accountants22/F CITIC Tower1 Tim Mei AvenueCentralHong Kong23 June 2020",True
Elite Partners CPA Limited,38 - 42,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001737.pdf,"42Independent Auditor™s Report AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Leung Man Kin with Practising Certificate number P07174.Elite Partners CPA LimitedCertified Public Accountants10/F, 8 Observatory Road,Tsim Sha Tsui, Kowloon, Hong Kong29 June 2020",True
